ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
KMeans1520;EuclideanDistance;1;true;true;false;true;false;true;OneAncestor;0.4529;0.0333;5.8672;1.2585;14.4449;1.5670000000000002;0.1867;0.07980000000000001;72.24
ClusterART;Not needed;1;false;false;true;true;true;true;OneAncestor;0.46640000000000004;0.0;2.2640000000000002;0.0;3.2831;0.0;0.1531;0.0;7314.03
KMeans1520;EuclideanDistance;1;true;true;false;true;false;true;Shotgun;0.3236;0.019100000000000002;17.003600000000002;3.0562;44.7689;10.1586;0.18710000000000002;0.06670000000000001;430.08
ClusterART;Not needed;1;false;false;true;true;true;true;Shotgun;0.403;0.0;18.2013;0.0;28.2729;0.0;0.003;0.0;19793.94
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;null;0.4632;0.0374;11.1727;1.8328;37.472;5.1866;0.3665;0.0714;159.91
ClusterART;Not needed;1;false;true;false;false;false;false;null;0.46240000000000003;0.0;1.0487;0.0;2.6154;0.0;0.11860000000000001;0.0;8389.92
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;OneAncestor;0.4702;0.038900000000000004;11.3115;1.9947000000000001;37.8562;4.8719;0.376;0.0726;192.87
ClusterART;Not needed;1;false;true;false;false;true;false;null;0.5409;0.0;4.2318;0.0;7.46;0.0;0.1602;0.0;21868.05
KMeans1520;EuclideanDistance;1;true;true;false;true;true;false;Shotgun;0.3876;0.019200000000000002;31.6411;3.7037;155.5421;23.111;0.2851;0.0585;814.66
ClusterART;Not needed;1;false;true;false;true;false;false;null;0.4602;0.0;1.1022;0.0;2.5834;0.0;0.09730000000000001;0.0;7821.67
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;null;0.4651;0.0407;11.065900000000001;1.9773;37.9371;5.6612;0.3745;0.0688;151.11
ClusterART;Not needed;1;false;true;false;true;false;false;OneAncestor;0.4968;0.0;1.2185000000000001;0.0;2.4348;0.0;0.09280000000000001;0.0;5867.15
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;OneAncestor;0.4635;0.0373;11.0981;1.8966;37.822900000000004;5.562600000000001;0.3754;0.0695;193.37
ClusterART;Not needed;1;false;true;false;true;false;false;Shotgun;0.4294;0.0;12.4574;0.0;24.0885;0.0;0.0529;0.0;15679.01
KMeans1520;EuclideanDistance;1;true;true;false;true;true;true;Shotgun;0.39280000000000004;0.024300000000000002;31.2577;3.5282;109.8314;17.0888;0.2808;0.0713;819.11
ClusterART;Not needed;1;false;true;false;true;false;true;null;0.462;0.0;1.095;0.0;2.5819;0.0;0.0994;0.0;7259.76
KMeans1520;EuclideanDistance;1;true;true;true;false;false;false;null;0.45930000000000004;0.030600000000000002;5.3420000000000005;1.3906;14.035300000000001;1.741;0.20320000000000002;0.0678;125.44
ClusterART;Not needed;1;false;true;false;true;false;true;OneAncestor;0.4632;0.0;1.1215000000000002;0.0;2.5948;0.0;0.092;0.0;6873.37
KMeans1520;EuclideanDistance;1;true;true;true;false;true;false;null;0.4575;0.0309;5.4546;1.3424;14.0159;1.7447000000000001;0.19890000000000002;0.07250000000000001;143.37
ClusterART;Not needed;1;false;true;false;true;false;true;Shotgun;0.45640000000000003;0.0;13.9161;0.0;27.4109;0.0;0.0708;0.0;17403.8
KMeans1520;EuclideanDistance;1;true;true;true;true;false;false;null;0.456;0.032;5.4272;1.4591;13.8057;1.6985000000000001;0.21430000000000002;0.07490000000000001;124.31
ClusterART;Not needed;1;false;true;false;true;true;false;null;0.6379;0.0;3.9323;0.0;6.6699;0.0;0.14500000000000002;0.0;24078.82
KMeans1520;EuclideanDistance;1;true;true;true;true;false;false;OneAncestor;0.45280000000000004;0.034;5.8369;1.4951;13.6978;1.8738000000000001;0.20400000000000001;0.0708;120.14
ClusterART;Not needed;1;false;true;false;true;true;false;OneAncestor;0.5838;0.0;5.73;0.0;8.3155;0.0;0.08220000000000001;0.0;16029.94
KMeans1520;EuclideanDistance;1;true;true;true;true;false;false;Shotgun;0.3574;0.054700000000000006;18.8919;4.6639;38.4665;9.1265;0.1295;0.0758;236.68
ClusterART;Not needed;1;false;true;false;true;true;false;Shotgun;0.5941000000000001;0.0;99.4068;0.0;179.8163;0.0;-0.0091;0.0;27036.62
KMeans1520;EuclideanDistance;1;true;true;true;true;false;true;null;0.4529;0.0286;5.45;1.4961;13.6105;1.6914;0.2141;0.0718;120.66
ClusterART;Not needed;1;false;true;false;true;true;true;null;0.5787;0.0;4.9325;0.0;8.0866;0.0;0.10990000000000001;0.0;19933.36
KMeans1520;EuclideanDistance;1;true;true;true;true;false;true;OneAncestor;0.4555;0.0313;5.6783;1.3817000000000002;13.7047;1.6996;0.2136;0.0679;92.69
ClusterART;Not needed;1;false;true;false;true;true;true;OneAncestor;0.5760000000000001;0.0;5.4861;0.0;8.489700000000001;0.0;0.1116;0.0;19088.53
KMeans1520;EuclideanDistance;1;true;true;true;true;false;true;Shotgun;0.3262;0.0303;17.8705;4.405;38.9029;8.8527;0.1409;0.0829;237.75
ClusterART;Not needed;1;false;true;false;true;true;true;Shotgun;0.596;0.0;59.1531;0.0;109.21300000000001;0.0;0.0308;0.0;33741.44
KMeans1520;EuclideanDistance;1;true;true;true;true;true;false;null;0.45380000000000004;0.0325;5.6352;1.3376000000000001;13.8521;1.6724;0.20700000000000002;0.075;111.5
ClusterART;Not needed;1;false;true;true;false;false;false;null;0.46090000000000003;0.0;1.1500000000000001;0.0;2.6922;0.0;0.18430000000000002;0.0;9803.47
KMeans1520;EuclideanDistance;1;true;true;true;true;true;false;OneAncestor;0.4534;0.0346;6.067;1.3389;13.725200000000001;1.8572000000000002;0.1983;0.075;112.13
ClusterART;Not needed;1;false;true;true;false;true;false;null;0.46240000000000003;0.0;1.0491000000000001;0.0;2.6157;0.0;0.11850000000000001;0.0;8161.62
KMeans1520;EuclideanDistance;1;true;true;true;true;true;false;Shotgun;0.3573;0.054700000000000006;18.9017;4.6586;38.4621;9.122300000000001;0.1288;0.0761;281.56
ClusterART;Not needed;1;false;true;true;true;false;false;null;0.45830000000000004;0.0;1.2242;0.0;2.6953;0.0;0.1544;0.0;8888.6
KMeans1520;EuclideanDistance;1;true;true;true;true;true;true;null;0.451;0.0285;5.657;1.3921000000000001;13.629900000000001;1.6661000000000001;0.2069;0.0729;111.36
ClusterART;Not needed;1;false;true;true;true;false;false;OneAncestor;0.4932;0.0;1.339;0.0;2.529;0.0;0.1585;0.0;7108.92
KMeans1520;EuclideanDistance;1;true;true;true;true;true;true;OneAncestor;0.4554;0.0352;5.8826;1.2603;13.716700000000001;1.6777000000000002;0.2046;0.0702;116.65
ClusterART;Not needed;1;false;true;true;true;false;false;Shotgun;0.42560000000000003;0.0;12.282;0.0;24.6091;0.0;0.0165;0.0;20942.28
KMeans1520;EuclideanDistance;1;true;true;true;true;true;true;Shotgun;0.32580000000000003;0.0302;17.8965;4.3779;38.8832;8.872300000000001;0.1408;0.0834;254.62
ClusterART;Not needed;1;false;true;true;true;false;true;null;0.4602;0.0;1.2272;0.0;2.6915;0.0;0.155;0.0;7302.06
KMeans1520;HammingDistance;1;false;false;false;false;false;false;null;0.4489;0.0014;0.24530000000000002;0.061700000000000005;0.027100000000000003;0.0606;0.0592;0.0152;706.07
ClusterART;Not needed;1;false;true;true;true;false;true;OneAncestor;0.46140000000000003;0.0;1.2557;0.0;2.7098;0.0;0.1467;0.0;8562.61
KMeans1520;HammingDistance;1;false;false;false;false;true;false;null;0.4636;0.0246;0.8673000000000001;0.3153;0.1608;0.3079;0.0753;0.026000000000000002;1882.42
ClusterART;Not needed;1;false;true;true;true;false;true;Shotgun;0.4429;0.0;14.293600000000001;0.0;26.27;0.0;0.0998;0.0;16583.97
KMeans1520;HammingDistance;1;false;false;false;true;false;false;null;0.44870000000000004;0.0027;0.2467;0.0729;0.018500000000000003;0.028900000000000002;0.0558;0.0182;574.01
ClusterART;Not needed;1;false;true;true;true;true;false;null;0.4602;0.0;1.1026;0.0;2.5837000000000003;0.0;0.09720000000000001;0.0;7520.5
KMeans1520;HammingDistance;1;false;false;false;true;false;false;OneAncestor;0.4485;0.0035;0.24700000000000003;0.0721;0.0151;0.0262;0.0557;0.0183;620.37
ClusterART;Not needed;1;false;true;true;true;true;false;OneAncestor;0.4968;0.0;1.2185000000000001;0.0;2.4348;0.0;0.09280000000000001;0.0;6721.9
KMeans1520;HammingDistance;1;false;false;false;true;false;false;Shotgun;0.47440000000000004;0.0241;5.406000000000001;2.8999;1.1598000000000002;1.5416;0.0597;0.0135;2361.06
ClusterART;Not needed;1;false;true;true;true;true;false;Shotgun;0.4294;0.0;12.5001;0.0;24.203400000000002;0.0;0.0529;0.0;15250.33
KMeans1520;HammingDistance;1;false;false;false;true;false;true;null;0.4491;0.0018000000000000002;0.2321;0.0599;0.0154;0.029900000000000003;0.058800000000000005;0.015000000000000001;596.37
ClusterART;Not needed;1;false;true;true;true;true;true;null;0.462;0.0;1.0951;0.0;2.5820000000000003;0.0;0.0994;0.0;7107.36
KMeans1520;HammingDistance;1;false;false;false;true;false;true;OneAncestor;0.4489;0.0017000000000000001;0.2545;0.08270000000000001;0.0162;0.0304;0.056;0.0172;630.89
ClusterART;Not needed;1;false;true;true;true;true;true;OneAncestor;0.4632;0.0;1.1216000000000002;0.0;2.5948;0.0;0.092;0.0;6720.48
KMeans1520;HammingDistance;1;false;false;false;true;false;true;Shotgun;0.4621;0.0145;3.8675;1.4201000000000001;0.5175000000000001;0.7215;0.056900000000000006;0.0108;2360.74
ClusterART;Not needed;1;false;true;true;true;true;true;Shotgun;0.45640000000000003;0.0;13.9562;0.0;27.5482;0.0;0.0709;0.0;20904.39
KMeans1520;HammingDistance;1;false;false;false;true;true;false;null;0.46290000000000003;0.0245;0.8973000000000001;0.3019;0.1525;0.2565;0.0755;0.0332;1447.26
ClusterART;Not needed;1;true;false;false;false;false;false;null;0.5189;0.0;10.223600000000001;0.0;15.071100000000001;0.0;0.0459;0.0;12276.75
KMeans1520;HammingDistance;1;false;false;false;true;true;false;OneAncestor;0.46280000000000004;0.0241;0.9082;0.29600000000000004;0.152;0.2295;0.0761;0.0286;1426.59
ClusterART;Not needed;1;true;false;false;false;true;false;null;0.4429;0.0;28.9832;0.0;33.4026;0.0;-0.0636;0.0;29512.62
KMeans1520;HammingDistance;1;false;false;false;true;true;false;Shotgun;0.4632;0.0256;35.4138;12.229000000000001;7.8584000000000005;13.080300000000001;0.0703;0.029300000000000003;3578.6
ClusterART;Not needed;1;true;false;false;true;false;false;null;0.49870000000000003;0.0;10.2673;0.0;14.939200000000001;0.0;0.033100000000000004;0.0;7883.21
KMeans1520;HammingDistance;1;false;false;false;true;true;true;null;0.46490000000000004;0.0264;0.9419000000000001;0.3251;0.1592;0.24780000000000002;0.07690000000000001;0.028;1546.1
ClusterART;Not needed;1;true;false;false;true;false;false;OneAncestor;0.5118;0.0;9.9382;0.0;13.162600000000001;0.0;0.0029000000000000002;0.0;7804.38
KMeans1520;HammingDistance;1;false;false;false;true;true;true;OneAncestor;0.4642;0.025500000000000002;0.9208000000000001;0.3264;0.1572;0.25930000000000003;0.0758;0.028200000000000003;1266.46
ClusterART;Not needed;1;true;false;false;true;false;false;Shotgun;0.4919;0.0;18.3981;0.0;30.620800000000003;0.0;-0.0492;0.0;21138.67
KMeans1520;HammingDistance;1;false;false;false;true;true;true;Shotgun;0.45990000000000003;0.022600000000000002;18.9662;5.5448;2.9556;4.7821;0.0733;0.0223;3593.95
ClusterART;Not needed;1;true;false;false;true;false;true;null;0.4665;0.0;9.4849;0.0;14.183;0.0;0.0668;0.0;7938.97
