ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
KMeans820;EuclideanDistance;1;true;true;true;true;false;false;Shotgun;0.3665;0.028900000000000002;23.1679;4.965800000000001;39.724000000000004;9.919400000000001;0.11610000000000001;0.09040000000000001;72.13
ClusterART;Not needed;1;false;true;false;true;true;false;Shotgun;0.4395;0.0;105.3544;0.0;148.1626;0.0;-0.0437;0.0;9019.26
KMeans820;EuclideanDistance;1;true;true;true;true;false;true;null;0.2602;0.0514;6.3453;1.9839;13.9967;2.3155;0.21430000000000002;0.0889;33.56
ClusterART;Not needed;1;false;true;false;true;true;true;null;0.23970000000000002;0.0;6.3398;0.0;8.774000000000001;0.0;0.0579;0.0;5446.21
KMeans820;EuclideanDistance;1;true;true;true;true;false;true;OneAncestor;0.26880000000000004;0.058;6.5087;2.0161000000000002;13.756300000000001;2.1638;0.21710000000000002;0.08370000000000001;22.09
ClusterART;Not needed;1;false;true;false;true;true;true;OneAncestor;0.2732;0.0;9.169;0.0;12.0936;0.0;-0.0303;0.0;7736.47
KMeans820;EuclideanDistance;1;true;true;true;true;false;true;Shotgun;0.3531;0.026000000000000002;24.162000000000003;4.9005;39.9656;8.5016;0.10540000000000001;0.0893;75.2
ClusterART;Not needed;1;false;true;false;true;true;true;Shotgun;0.4259;0.0;149.449;0.0;199.1244;0.0;-0.08370000000000001;0.0;11093.12
KMeans820;EuclideanDistance;1;true;true;true;true;true;false;null;0.2559;0.0502;6.250500000000001;2.0051;14.1591;2.2465;0.219;0.0937;31.38
ClusterART;Not needed;1;false;true;true;false;false;false;null;0.20270000000000002;0.0;1.4156;0.0;2.6472;0.0;0.21480000000000002;0.0;1311.97
KMeans820;EuclideanDistance;1;true;true;true;true;true;false;OneAncestor;0.2715;0.056600000000000004;6.6749;1.9288;13.5501;2.1140000000000003;0.21630000000000002;0.0855;14.96
ClusterART;Not needed;1;false;true;true;false;true;false;null;0.20270000000000002;0.0;1.4156;0.0;2.6472;0.0;0.21480000000000002;0.0;1315.39
KMeans820;EuclideanDistance;1;true;true;true;true;true;false;Shotgun;0.3668;0.028800000000000003;23.0856;4.9725;39.6374;9.912700000000001;0.1155;0.0903;82.51
ClusterART;Not needed;1;false;true;true;true;false;false;null;0.2069;0.0;1.4809;0.0;2.6399;0.0;0.1882;0.0;1177.36
KMeans820;EuclideanDistance;1;true;true;true;true;true;true;null;0.26;0.0514;6.3929;1.9544000000000001;13.9709;2.2581;0.21730000000000002;0.0886;22.29
